state,year,period,value,footnotes
Louisiana,2016,M12,112436,Reflects revised population controls and model reestimation.
Louisiana,2016,M11,114387,Reflects revised population controls and model reestimation.
Louisiana,2016,M10,124482,Reflects revised population controls and model reestimation.
Louisiana,2016,M09,134882,Reflects revised population controls and model reestimation.
Louisiana,2016,M08,138745,Reflects revised population controls and model reestimation.
Louisiana,2016,M07,142515,Reflects revised population controls and model reestimation.
Louisiana,2016,M06,149501,Reflects revised population controls and model reestimation.
Louisiana,2016,M05,124825,Reflects revised population controls and model reestimation.
Louisiana,2016,M04,121287,Reflects revised population controls and model reestimation.
Louisiana,2016,M03,128087,Reflects revised population controls and model reestimation.
Louisiana,2016,M02,121977,Reflects revised population controls and model reestimation.
Louisiana,2016,M01,136134,Reflects revised population controls and model reestimation.
Louisiana,2015,M12,114227,Reflects revised population controls and model reestimation.
Louisiana,2015,M11,121158,Reflects revised population controls and model reestimation.
Louisiana,2015,M10,128275,Reflects revised population controls and model reestimation.
Louisiana,2015,M09,131565,Reflects revised population controls and model reestimation.
Louisiana,2015,M08,138667,Reflects revised population controls and model reestimation.
Louisiana,2015,M07,146356,Reflects revised population controls and model reestimation.
Louisiana,2015,M06,154559,Reflects revised population controls and model reestimation.
Louisiana,2015,M05,139660,Reflects revised population controls and model reestimation.
Louisiana,2015,M04,131017,Reflects revised population controls and model reestimation.
Louisiana,2015,M03,139127,Reflects revised population controls and model reestimation.
Louisiana,2015,M02,139221,Reflects revised population controls and model reestimation.
Louisiana,2015,M01,158665,Reflects revised population controls and model reestimation.
Louisiana,2014,M12,138042,Reflects revised population controls and model reestimation.
Louisiana,2014,M11,147902,Reflects revised population controls and model reestimation.
Louisiana,2014,M10,149338,Reflects revised population controls and model reestimation.
Louisiana,2014,M09,152332,Reflects revised population controls and model reestimation.
Louisiana,2014,M08,160337,Reflects revised population controls and model reestimation.
Louisiana,2014,M07,158408,Reflects revised population controls and model reestimation.
Louisiana,2014,M06,152910,Reflects revised population controls and model reestimation.
Louisiana,2014,M05,128987,Reflects revised population controls and model reestimation.
Louisiana,2014,M04,108507,Reflects revised population controls and model reestimation.
Louisiana,2014,M03,117808,Reflects revised population controls and model reestimation.
Louisiana,2014,M02,109622,Reflects revised population controls and model reestimation.
Louisiana,2014,M01,120784,Reflects revised population controls and model reestimation.
Louisiana,2013,M12,103557,Reflects revised population controls and model reestimation.
Louisiana,2013,M11,114295,Reflects revised population controls and model reestimation.
Louisiana,2013,M10,127991,Reflects revised population controls and model reestimation.
Louisiana,2013,M09,135116,Reflects revised population controls and model reestimation.
Louisiana,2013,M08,146431,Reflects revised population controls and model reestimation.
Louisiana,2013,M07,155985,Reflects revised population controls and model reestimation.
Louisiana,2013,M06,170435,Reflects revised population controls and model reestimation.
Louisiana,2013,M05,146049,Reflects revised population controls and model reestimation.
Louisiana,2013,M04,135631,Reflects revised population controls and model reestimation.
Louisiana,2013,M03,141315,Reflects revised population controls and model reestimation.
Louisiana,2013,M02,142397,Reflects revised population controls and model reestimation.
Louisiana,2013,M01,164162,Reflects revised population controls and model reestimation.
Louisiana,2012,M12,132086,Reflects revised population controls and model reestimation.
Louisiana,2012,M11,123151,Reflects revised population controls and model reestimation.
Louisiana,2012,M10,134352,Reflects revised population controls and model reestimation.
Louisiana,2012,M09,136952,Reflects revised population controls and model reestimation.
Louisiana,2012,M08,152848,Reflects revised population controls and model reestimation.
Louisiana,2012,M07,165191,Reflects revised population controls and model reestimation.
Louisiana,2012,M06,174431,Reflects revised population controls and model reestimation.
Louisiana,2012,M05,149403,Reflects revised population controls and model reestimation.
Louisiana,2012,M04,137354,Reflects revised population controls and model reestimation.
Louisiana,2012,M03,148384,Reflects revised population controls and model reestimation.
Louisiana,2012,M02,148491,Reflects revised population controls and model reestimation.
Louisiana,2012,M01,163071,Reflects revised population controls and model reestimation.
Louisiana,2011,M12,143146,
Louisiana,2011,M11,143762,
Louisiana,2011,M10,157272,
Louisiana,2011,M09,160580,
Louisiana,2011,M08,167588,
Louisiana,2011,M07,172725,
Louisiana,2011,M06,183107,
Louisiana,2011,M05,159854,
Louisiana,2011,M04,152520,
Louisiana,2011,M03,162062,
Louisiana,2011,M02,162334,
Louisiana,2011,M01,181406,
Louisiana,2010,M12,163148,
Louisiana,2010,M11,169430,
Louisiana,2010,M10,169437,
Louisiana,2010,M09,172831,
Louisiana,2010,M08,183080,
Louisiana,2010,M07,179468,
Louisiana,2010,M06,183943,
Louisiana,2010,M05,160108,
Louisiana,2010,M04,147906,
Louisiana,2010,M03,151114,
Louisiana,2010,M02,147204,
Louisiana,2010,M01,167016,
Louisiana,2009,M12,143321,
Louisiana,2009,M11,137760,
Louisiana,2009,M10,145588,
Louisiana,2009,M09,145735,
Louisiana,2009,M08,154621,
Louisiana,2009,M07,158405,
Louisiana,2009,M06,163364,
Louisiana,2009,M05,133213,
Louisiana,2009,M04,119192,
Louisiana,2009,M03,126794,
Louisiana,2009,M02,125231,
Louisiana,2009,M01,137386,
Louisiana,2008,M12,115151,
Louisiana,2008,M11,110727,
Louisiana,2008,M10,115326,
Louisiana,2008,M09,119344,
Louisiana,2008,M08,116018,
Louisiana,2008,M07,111073,
Louisiana,2008,M06,113951,
Louisiana,2008,M05,88866,
Louisiana,2008,M04,74672,
Louisiana,2008,M03,85823,
Louisiana,2008,M02,79791,
Louisiana,2008,M01,98708,
Louisiana,2007,M12,83876,
Louisiana,2007,M11,76362,
Louisiana,2007,M10,77329,
Louisiana,2007,M09,84469,
Louisiana,2007,M08,88981,
Louisiana,2007,M07,96975,
Louisiana,2007,M06,105625,
Louisiana,2007,M05,85567,
Louisiana,2007,M04,79295,
Louisiana,2007,M03,81352,
Louisiana,2007,M02,80070,
Louisiana,2007,M01,96848,
Louisiana,2006,M12,77493,
Louisiana,2006,M11,82294,
Louisiana,2006,M10,81550,
Louisiana,2006,M09,83838,
Louisiana,2006,M08,88878,
Louisiana,2006,M07,90534,
Louisiana,2006,M06,103508,
Louisiana,2006,M05,85631,
Louisiana,2006,M04,79737,
Louisiana,2006,M03,83509,
Louisiana,2006,M02,86875,
Louisiana,2006,M01,118541,
Louisiana,2005,M12,133451,
Louisiana,2005,M11,215876,
Louisiana,2005,M10,223440,
Louisiana,2005,M09,230825,
Louisiana,2005,M08,127666,
Louisiana,2005,M07,130711,
Louisiana,2005,M06,139547,
Louisiana,2005,M05,115392,
Louisiana,2005,M04,105883,
Louisiana,2005,M03,109878,
Louisiana,2005,M02,115257,
Louisiana,2005,M01,128284,
Louisiana,2004,M12,111896,
Louisiana,2004,M11,113520,
